"report_date_as_yyyy_mm_dd","noncomm_positions_long_all","noncomm_positions_short_all"
"2010-03-09T00:00:00.000","51919","25631"
"2010-03-02T00:00:00.000","57332","24780"
"2010-02-23T00:00:00.000","30432","28715"
"2010-02-16T00:00:00.000","35691","21779"
"2010-02-09T00:00:00.000","41352","18956"
"2010-02-02T00:00:00.000","30177","23042"
"2010-01-26T00:00:00.000","28821","33168"
"2010-01-19T00:00:00.000","23718","40814"
"2010-01-12T00:00:00.000","21951","38695"
"2010-01-05T00:00:00.000","20634","37445"
"2009-12-29T00:00:00.000","19943","34846"
"2009-12-22T00:00:00.000","29477","30488"
"2009-12-15T00:00:00.000","33810","25438"
"2009-12-08T00:00:00.000","48754","13572"
"2009-12-01T00:00:00.000","73793","16886"
"2009-11-24T00:00:00.000","65224","13514"
"2009-11-17T00:00:00.000","48750","13198"
"2009-11-09T00:00:00.000","42044","20166"
"2009-11-03T00:00:00.000","39028","19196"
"2009-10-27T00:00:00.000","36076","18546"
"2009-10-20T00:00:00.000","49401","18216"
"2009-10-13T00:00:00.000","49817","16478"
"2009-10-06T00:00:00.000","62127","17484"
"2009-09-29T00:00:00.000","63449","18593"
"2009-09-22T00:00:00.000","63269","17654"
"2009-09-15T00:00:00.000","54044","16937"
"2009-09-08T00:00:00.000","56725","15926"
"2009-09-01T00:00:00.000","52041","19676"
"2009-08-25T00:00:00.000","34055","22408"
"2009-08-18T00:00:00.000","25121","22768"
"2009-08-11T00:00:00.000","24019","23195"
"2009-08-04T00:00:00.000","28269","17654"
"2009-07-28T00:00:00.000","37334","13032"
"2009-07-21T00:00:00.000","52973","16785"
"2009-07-14T00:00:00.000","52640","19073"
"2009-07-07T00:00:00.000","36668","19551"
"2009-06-30T00:00:00.000","23261","24308"
"2009-06-23T00:00:00.000","22186","26193"
"2009-06-16T00:00:00.000","18287","26850"
"2009-06-09T00:00:00.000","25222","27521"
"2009-06-02T00:00:00.000","34077","24456"
"2009-05-26T00:00:00.000","34860","26851"
"2009-05-19T00:00:00.000","29526","23526"
"2009-05-12T00:00:00.000","28513","26125"
"2009-05-05T00:00:00.000","21588","28106"
"2009-04-28T00:00:00.000","22162","26741"
"2009-04-21T00:00:00.000","18343","32038"
"2009-04-14T00:00:00.000","21169","27264"
"2009-04-07T00:00:00.000","25566","32564"
"2009-03-31T00:00:00.000","26744","36207"
"2009-03-24T00:00:00.000","25057","32719"
"2009-03-17T00:00:00.000","27170","31866"
"2009-03-10T00:00:00.000","43326","24420"
"2009-03-03T00:00:00.000","46618","26548"
"2009-02-24T00:00:00.000","47262","18627"
"2009-02-17T00:00:00.000","54653","18465"
"2009-02-10T00:00:00.000","56870","13273"
"2009-02-03T00:00:00.000","65131","14613"
"2009-01-27T00:00:00.000","63369","14362"
"2009-01-20T00:00:00.000","62529","15439"
"2009-01-13T00:00:00.000","60480","15585"
"2009-01-06T00:00:00.000","62615","16221"
"2008-12-30T00:00:00.000","57793","13917"
"2008-12-22T00:00:00.000","56334","16236"
"2008-12-16T00:00:00.000","59985","18604"
"2008-12-09T00:00:00.000","62978","19719"
"2008-12-02T00:00:00.000","67743","24840"
"2008-11-25T00:00:00.000","62066","24900"
"2008-11-18T00:00:00.000","46827","22693"
"2008-11-11T00:00:00.000","46353","21842"
"2008-11-04T00:00:00.000","46772","20278"
"2008-10-28T00:00:00.000","51215","19389"
"2008-10-21T00:00:00.000","51441","21320"
"2008-10-14T00:00:00.000","51709","21805"
"2008-10-07T00:00:00.000","61557","21744"
"2008-09-30T00:00:00.000","69373","26351"
"2008-09-23T00:00:00.000","51186","19247"
"2008-09-16T00:00:00.000","50625","24025"
"2008-09-09T00:00:00.000","39298","24477"
"2008-09-02T00:00:00.000","38405","43425"
"2008-08-26T00:00:00.000","40103","60073"
"2008-08-19T00:00:00.000","40933","64071"
"2008-08-12T00:00:00.000","46164","59413"
"2008-08-05T00:00:00.000","45898","57979"
"2008-07-29T00:00:00.000","39162","45442"
"2008-07-22T00:00:00.000","48433","37909"
"2008-07-15T00:00:00.000","77600","27495"
"2008-07-08T00:00:00.000","40519","35194"
"2008-07-01T00:00:00.000","45189","29184"
"2008-06-24T00:00:00.000","34316","47063"
"2008-06-17T00:00:00.000","39989","34132"
"2008-06-10T00:00:00.000","43391","35675"
"2008-06-03T00:00:00.000","55009","31644"
"2008-05-27T00:00:00.000","62907","29603"
"2008-05-20T00:00:00.000","65203","25155"
"2008-05-13T00:00:00.000","62209","28393"
"2008-05-06T00:00:00.000","69355","20620"
"2008-04-29T00:00:00.000","73485","18035"
"2008-04-22T00:00:00.000","60353","25266"
"2008-04-15T00:00:00.000","68950","20978"
"2008-04-08T00:00:00.000","70424","27357"
"2008-04-01T00:00:00.000","78135","25837"
"2008-03-25T00:00:00.000","88691","22771"
"2008-03-18T00:00:00.000","82300","26541"
"2008-03-11T00:00:00.000","86383","36230"
"2008-03-04T00:00:00.000","94654","38369"
"2008-02-26T00:00:00.000","70188","35899"
"2008-02-19T00:00:00.000","80805","30361"
"2008-02-12T00:00:00.000","73955","30484"
"2008-02-05T00:00:00.000","83740","29050"
"2008-01-29T00:00:00.000","78810","25882"
"2008-01-22T00:00:00.000","67896","26054"
"2008-01-15T00:00:00.000","64712","27513"
"2008-01-08T00:00:00.000","62356","24883"
"2007-12-31T00:00:00.000","45107","44187"
"2007-12-24T00:00:00.000","46961","42948"
"2007-12-18T00:00:00.000","54075","40718"
"2007-12-11T00:00:00.000","68557","37654"
"2007-12-04T00:00:00.000","73463","39378"
"2007-11-27T00:00:00.000","68104","36772"
"2007-11-20T00:00:00.000","68020","37619"
"2007-11-13T00:00:00.000","63338","42542"
"2007-11-06T00:00:00.000","59945","68842"
"2007-10-30T00:00:00.000","57461","67410"
"2007-10-23T00:00:00.000","46369","67723"
"2007-10-16T00:00:00.000","45607","84220"
"2007-10-09T00:00:00.000","36321","82078"
"2007-10-02T00:00:00.000","35521","63590"
"2007-09-25T00:00:00.000","46051","48500"
"2007-09-18T00:00:00.000","41534","62601"
"2007-09-11T00:00:00.000","62733","57148"
"2007-09-04T00:00:00.000","58339","65392"
"2007-08-28T00:00:00.000","66128","56282"
"2007-08-21T00:00:00.000","61218","59702"
"2007-08-14T00:00:00.000","57759","79648"
"2007-08-07T00:00:00.000","47110","81603"
"2007-07-31T00:00:00.000","46600","97762"
"2007-07-24T00:00:00.000","51088","143503"
"2007-07-17T00:00:00.000","50431","177204"
"2007-07-10T00:00:00.000","51549","177439"
"2007-07-03T00:00:00.000","43373","198511"
"2007-06-26T00:00:00.000","49411","237488"
"2007-06-19T00:00:00.000","45218","206579"
"2007-06-12T00:00:00.000","48791","176353"
"2007-06-05T00:00:00.000","53781","177787"
"2007-05-29T00:00:00.000","51301","197544"
"2007-05-22T00:00:00.000","52301","204047"
"2007-05-15T00:00:00.000","46650","174546"
"2007-05-08T00:00:00.000","51213","163472"
"2007-05-01T00:00:00.000","47618","166400"
"2007-04-24T00:00:00.000","37900","119672"
"2007-04-17T00:00:00.000","43281","113800"
"2007-04-10T00:00:00.000","42718","107559"
"2007-04-03T00:00:00.000","36845","100703"
"2007-03-27T00:00:00.000","37765","85245"
"2007-03-20T00:00:00.000","34269","84222"
"2007-03-13T00:00:00.000","38194","91047"
"2007-03-06T00:00:00.000","30479","93365"
"2007-02-27T00:00:00.000","39383","154009"
"2007-02-20T00:00:00.000","42286","158481"
"2007-02-13T00:00:00.000","43467","210972"
"2007-02-06T00:00:00.000","41025","169551"
"2007-01-30T00:00:00.000","42579","215584"
"2007-01-23T00:00:00.000","52200","217060"
"2007-01-16T00:00:00.000","56031","194177"
"2007-01-09T00:00:00.000","54341","177684"
"2007-01-03T00:00:00.000","54819","173411"
"2006-12-26T00:00:00.000","55629","160543"
"2006-12-19T00:00:00.000","48950","141469"
"2006-12-12T00:00:00.000","50622","106182"
"2006-12-05T00:00:00.000","62344","85881"
"2006-11-28T00:00:00.000","56033","97991"
"2006-11-21T00:00:00.000","50648","131069"
"2006-11-14T00:00:00.000","48106","103118"
"2006-11-07T00:00:00.000","48102","111614"
"2006-10-31T00:00:00.000","46776","106376"
"2006-10-24T00:00:00.000","50401","187691"
"2006-10-17T00:00:00.000","53173","165751"
"2006-10-10T00:00:00.000","50595","174193"
"2006-10-03T00:00:00.000","47430","151581"
"2006-09-26T00:00:00.000","42518","129876"
